Symbol,OrderID,Side,Price,Qty,ExecID
AAPL,algo20240523053815,2,1276.37,1179,exec20240523053815
INTC,algo20240523053825,2,339.13,6553,exec20240523053825
AMGN,algo20240523053831,2,116.62,5187,exec20240523053831
SBUX,algo20240523053842,2,75.71,1625,exec20240523053842
SBUX,algo20240523053842,2,75.71,1625,exec20240523053843
TMUS,algo20240523053847,1,90.74,5130,exec20240523053847
MDLZ,algo20240523053850,1,52.26,7368,exec20240523053850
BAC,algo20240523053853,2,22.03,10027,exec20240523053853
BAC,algo20240523053853,2,22.03,10027,exec20240523053854
DDD,algo20240523053856,1,8.01,2942,exec20240523053856
MMM,algo20240523053859,2,146.98,501,exec20240523053859
EGHT,algo20240523053905,1,17.03,7955,exec20240523053905
AOS,algo20240523053909,2,40.38,1556,exec20240523053909
AOS,algo20240523053909,2,40.38,1556,exec20240523053910
AOS,algo20240523053909,2,40.38,1556,exec20240523053911
AAN,algo20240523053917,2,25.68,5982,exec20240523053917
ABT,algo20240523053922,2,94.04,3179,exec20240523053922
ABT,algo20240523053922,2,94.04,3179,exec20240523053923
ABT,algo20240523053922,2,94.04,3179,exec20240523053924
ABBV,algo20240523053926,2,83.60,12982,exec20240523053926
PEP,algo20240523053932,2,45.43,4027,exec20240523053932
PEP,algo20240523053932,2,45.43,4027,exec20240523053933
AAPL,algo20240523054152,1,1276.37,3352,exec20240523054152
MSFT,algo20240523054155,1,59.89,616,exec20240523054155
MSFT,algo20240523054155,1,59.89,616,exec20240523054156
AMZN,algo20240523054159,2,133.47,7860,exec20240523054159
GOOG,algo20240523054202,2,42.05,14621,exec20240523054202
SBUX,algo20240523054221,1,75.71,2483,exec20240523054221
SBUX,algo20240523054221,1,75.71,2483,exec20240523054222
SBUX,algo20240523054221,1,75.71,2483,exec20240523054223
AOS,algo20240523054245,1,40.38,5015,exec20240523054245
ATEN,algo20240523054248,1,6.45,829,exec20240523054248
AIR,algo20240523054250,2,16.31,7672,exec20240523054250
AIR,algo20240523054250,2,16.31,7672,exec20240523054251
AIR,algo20240523054250,2,16.31,7672,exec20240523054252
AAN,algo20240523054254,1,25.68,4404,exec20240523054254
ANF,algo20240523054302,2,9.10,9787,exec20240523054302
ABM,algo20240523054305,1,31.64,392,exec20240523054305
AAPL,algo20240523054308,1,284.65,4081,exec20240523054308
,algo20240523054313,2,,5344,exec20240523054313
,algo20240523054313,2,,5344,exec20240523054314
,algo20240523054313,2,,5344,exec20240523054315
,algo20240523054313,2,,5344,exec20240523054316
